DatGeracaoConjuntoDados;DscOrigem;NomTipoUsina;NomSubTipoUsina;QtdUsinaTermeletrica;MdaPotenciaInstaladaKW;MesReferencia;AnoReferencia
2023-07-01;Biomassa;Agroindustriais;Capim Elefante;2;31700,00;9 ;2012
2023-07-01;Biomassa;Agroindustriais;Capim Elefante;2;31700,00;9 ;2013
2023-07-01;Biomassa;Agroindustriais;Capim Elefante;2;31700,00;9 ;2014
2023-07-01;Biomassa;Agroindustriais;Capim Elefante;3;65700,00;9 ;2015
2023-07-01;Biomassa;Agroindustriais;Capim Elefante;3;65700,00;9 ;2016
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;12;2012
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;12;2013
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;10;37533,00;12;2014
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;12;2015
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;12;2016
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;8;32608,00;3 ;2012
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;3 ;2013
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;3 ;2014
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;11;39533,00;3 ;2015
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;3 ;2016
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;3 ;2017
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;8;32608,00;6 ;2012
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;6 ;2013
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;6 ;2014
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;11;39533,00;6 ;2015
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;6 ;2016
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;8;32608,00;9 ;2012
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;9;36433,00;9 ;2013
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;10;37633,00;9 ;2014
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;11;39533,00;9 ;2015
2023-07-01;Biomassa;Agroindustriais;Casca de Arroz;12;45333,00;9 ;2016
2023-07-01;Biomassa;Biocombustíveis líquidos;Etanol;1;320,00;12;2016
2023-07-01;Biomassa;Biocombustíveis líquidos;Etanol;1;320,00;3 ;2017
2023-07-01;Biomassa;Biocombustiveis Liquidos;Etanol;1;320,00;9 ;2016
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;12;2012
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;2;4350,40;12;2013
2023-07-01;Biomassa;Biocombustiveis Liquidos;Oleos Vegetais;3;19110,40;12;2014
